Package                                  Version
pyfiglet                                 1.0.4
Pygments                                 2.19.2
PyJWT                                    2.10.1
PyMySQL                                  1.1.2
pypandoc                                 1.16.2
pyparsing                                3.2.5
pypdf                                    6.4.2
pypdfium2                                5.2.0
pyperclip                                1.11.0
PyPika                                   0.51.1
pypinyin                                 0.55.0
pyproject_hooks                          1.2.0
pyreadline3                              3.5.4
pytest                                   9.0.2
pytest-asyncio                           1.3.0
python-datauri                           3.0.2
python-dateutil                          2.9.0.post0
python-docx                              1.2.0
python-dotenv                            1.2.1
python-engineio                          4.12.3
python-frontmatter                       1.1.0
python-iso639                            2025.11.16
python-jose                              3.5.0
python-magic                             0.4.27
python-multipart                         0.0.20
python-oxmsg                             0.0.2
python-pptx                              1.0.2
python-socketio                          5.15.0
python-socks                             2.8.1
python-telegram-bot                      22.6
pythonnet                                3.0.5
pytz                                     2025.2
pywebview                                6.1
pywin32                                  311
pywin32-ctypes                           0.2.3
PyYAML                                   6.0.3
qdrant-client                            1.16.2
questionary                              2.1.1
RapidFuzz                                3.14.3
ray                                      2.52.1
redis                                    6.4.0
referencing                              0.37.0
regex                                    2025.11.3
reme_ai                                  0.3.1.6
reportlab                                4.4.10
requests                                 2.32.5
requests-oauthlib                        2.0.0
requests-toolbelt                        1.0.0
rich                                     14.3.3
rich-rst                                 1.3.2
rpds-py                                  0.30.0
rsa                                      4.9.1
safetensors                              0.7.0
scipy                                    1.15.3
segno                                    1.6.6
sentry-sdk                               2.30.0
setuptools                               80.9.0
shellingham                              1.5.4
shortuuid                                1.0.13
simple-websocket                         1.1.0
six                                      1.17.0
smmap                                    5.0.2
sniffio                                  1.3.1
sounddevice                              0.5.3
soupsieve                                2.8.1
SQLAlchemy                               2.0.45
sqlite-vec                               0.1.6
sqlmodel                                 0.0.27
sse-starlette                            3.0.4
stack-data                               0.6.3
starlette                                0.50.0
steel-sdk                                0.15.0
sympy                                    1.14.0
tavily-python                            0.7.22
tenacity                                 9.1.2
tiktoken                                 0.12.0
timm                                     1.0.22
tokenizers                               0.22.1
tomli                                    2.3.0
torch                                    2.9.1
torchvision                              0.24.1
tqdm                                     4.67.1
traitlets                                5.14.3
transformers                             4.57.3
twilio                                   9.10.2
typer                                    0.24.1
typing_extensions                        4.15.0
typing-inspect                           0.9.0
typing-inspection                        0.4.2
tzdata                                   2025.3
tzlocal                                  5.3.1
ua-parser                                1.0.1
ua-parser-builtins                       0.18.0.post1
UNKNOWN                                  0.0.0
unpaddedbase64                           2.1.0
unstructured                             0.18.21
unstructured-client                      0.42.6
unstructured_inference                   1.1.2
unstructured.pytesseract                 0.3.15
urllib3                                  2.3.0
user-agents                              2.2.0
uvicorn                                  0.41.0
vine                                     5.1.0
watchfiles                               1.1.1
wcwidth                                  0.2.14
webencodings                             0.5.1
websocket-client                         1.9.0
websockets                               15.0.1
wecom-aibot-python-sdk                   1.0.2
wheel                                    0.45.1
win32_setctime                           1.2.0
wrapt                                    2.0.1
wsproto                                  1.3.2
xlrd                                     2.0.2
xlsxwriter                               3.2.9
yarl                                     1.22.0
zipp                                     3.23.0
